angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.14,,,"[50, 610, 68, 76]",,,0.0,,,0.07,,,0.16,,,0.05,,,0.57,,,0.01,,
0.32,,,"[505, 17, 273, 331]",,,0.0,,,0.23,,,0.17,,,0.09,,,0.16,,,0.03,,
0.09,,,"[496, -20, 275, 328]",,,0.0,,,0.22,,,0.09,,,0.22,,,0.37,,,0.02,,
0.1,,,"[434, -80, 276, 331]",,,0.01,,,0.14,,,0.03,,,0.23,,,0.48,,,0.01,,
0.06,0.24,,"[403, -7, 269, 300]","[-16, 535, 81, 108]",,0.0,0.0,,0.07,0.1,,0.09,0.35,,0.4,0.07,,0.37,0.24,,0.0,0.0,
0.12,0.17,,"[380, -7, 280, 322]","[55, 644, 57, 66]",,0.0,0.0,,0.05,0.08,,0.01,0.14,,0.49,0.07,,0.33,0.52,,0.0,0.01,
0.18,,,"[355, -57, 315, 384]",,,0.0,,,0.05,,,0.04,,,0.5,,,0.21,,,0.01,,
0.14,,,"[360, -64, 330, 403]",,,0.0,,,0.12,,,0.41,,,0.08,,,0.2,,,0.05,,
0.23,0.11,,"[377, -70, 367, 446]","[-28, 532, 95, 127]",,0.0,0.0,,0.04,0.27,,0.37,0.08,,0.19,0.1,,0.12,0.41,,0.05,0.02,
0.18,,,"[375, -37, 398, 477]",,,0.0,,,0.07,,,0.39,,,0.17,,,0.12,,,0.06,,
0.16,,,"[-24, 537, 90, 117]",,,0.0,,,0.16,,,0.22,,,0.11,,,0.34,,,0.02,,
0.27,0.04,,"[416, 32, 453, 566]","[454, 574, 113, 152]",,0.0,0.0,,0.24,0.09,,0.01,0.1,,0.26,0.62,,0.19,0.13,,0.03,0.02,
0.02,,,"[466, 579, 122, 170]",,,0.0,,,0.19,,,0.4,,,0.29,,,0.02,,,0.08,,
0.25,,,"[607, 440, 182, 204]",,,0.01,,,0.13,,,0.06,,,0.01,,,0.53,,,0.01,,
0.15,,,"[606, 442, 179, 201]",,,0.0,,,0.17,,,0.08,,,0.03,,,0.56,,,0.01,,
0.01,,,"[487, 588, 118, 160]",,,0.0,,,0.09,,,0.25,,,0.61,,,0.02,,,0.02,,
0.0,,,"[489, 591, 118, 157]",,,0.0,,,0.07,,,0.4,,,0.5,,,0.02,,,0.01,,
0.0,,,"[490, 592, 119, 161]",,,0.0,,,0.04,,,0.34,,,0.59,,,0.02,,,0.01,,
0.03,,,"[447, 86, 431, 535]",,,0.0,,,0.02,,,0.0,,,0.9,,,0.04,,,0.01,,
0.02,,,"[444, 83, 432, 545]",,,0.0,,,0.01,,,0.0,,,0.95,,,0.02,,,0.01,,
0.01,,,"[448, 80, 435, 549]",,,0.0,,,0.01,,,0.0,,,0.94,,,0.04,,,0.0,,
0.01,,,"[443, 89, 425, 529]",,,0.0,,,0.02,,,0.0,,,0.92,,,0.04,,,0.0,,
0.04,,,"[442, 82, 431, 534]",,,0.0,,,0.02,,,0.0,,,0.86,,,0.07,,,0.01,,
0.02,,,"[444, 80, 429, 534]",,,0.0,,,0.01,,,0.0,,,0.9,,,0.07,,,0.0,,
0.02,0.21,,"[440, 84, 432, 536]","[123, 617, 38, 44]",,0.0,0.01,,0.02,0.15,,0.0,0.1,,0.9,0.05,,0.05,0.46,,0.01,0.02,
0.01,,,"[441, 85, 430, 536]",,,0.0,,,0.01,,,0.0,,,0.94,,,0.03,,,0.0,,
0.02,,,"[443, 89, 423, 526]",,,0.0,,,0.02,,,0.0,,,0.9,,,0.05,,,0.01,,
0.02,,,"[446, 89, 421, 525]",,,0.0,,,0.03,,,0.0,,,0.91,,,0.04,,,0.01,,
0.01,,,"[443, 86, 423, 530]",,,0.0,,,0.01,,,0.0,,,0.93,,,0.04,,,0.01,,
0.01,,,"[445, 87, 421, 528]",,,0.0,,,0.02,,,0.0,,,0.92,,,0.04,,,0.01,,
0.02,,,"[442, 86, 424, 532]",,,0.0,,,0.02,,,0.0,,,0.9,,,0.05,,,0.01,,
0.05,,,"[442, 95, 421, 518]",,,0.0,,,0.03,,,0.0,,,0.84,,,0.07,,,0.0,,
0.04,,,"[446, 100, 408, 493]",,,0.0,,,0.03,,,0.0,,,0.84,,,0.09,,,0.0,,
0.01,,,"[447, 89, 409, 500]",,,0.0,,,0.02,,,0.0,,,0.92,,,0.04,,,0.0,,
0.01,,,"[453, 86, 411, 488]",,,0.0,,,0.02,,,0.0,,,0.94,,,0.03,,,0.0,,
0.14,0.03,,"[447, 75, 406, 486]","[465, 558, 124, 171]",,0.0,0.0,,0.22,0.1,,0.01,0.23,,0.41,0.58,,0.17,0.05,,0.05,0.01,
0.05,0.09,,"[449, 69, 372, 435]","[443, 532, 144, 203]",,0.0,0.0,,0.06,0.29,,0.0,0.07,,0.81,0.33,,0.07,0.2,,0.02,0.02,
0.03,0.11,,"[452, 67, 383, 458]","[443, 533, 147, 208]",,0.0,0.0,,0.04,0.25,,0.0,0.19,,0.88,0.27,,0.04,0.15,,0.01,0.02,
0.03,0.1,,"[454, 67, 382, 455]","[440, 532, 152, 215]",,0.0,0.0,,0.04,0.26,,0.0,0.14,,0.87,0.27,,0.05,0.2,,0.01,0.03,
0.03,0.07,,"[455, 75, 378, 435]","[472, 552, 113, 153]",,0.0,0.01,,0.02,0.13,,0.0,0.11,,0.93,0.42,,0.02,0.08,,0.01,0.18,
0.03,0.13,,"[457, 74, 377, 441]","[447, 537, 147, 203]",,0.0,0.0,,0.02,0.32,,0.0,0.21,,0.94,0.16,,0.01,0.16,,0.0,0.03,
0.04,0.08,,"[457, 72, 381, 454]","[444, 539, 147, 210]",,0.0,0.0,,0.06,0.26,,0.0,0.16,,0.87,0.28,,0.01,0.18,,0.01,0.03,
0.07,0.06,0.23,"[459, 74, 384, 460]","[473, 556, 114, 156]","[176, 585, 100, 131]",0.0,0.0,0.0,0.07,0.12,0.12,0.0,0.08,0.05,0.82,0.63,0.11,0.04,0.07,0.48,0.01,0.04,0.01
0.14,0.07,,"[463, 85, 374, 442]","[472, 556, 117, 159]",,0.0,0.0,,0.1,0.12,,0.01,0.21,,0.67,0.5,,0.06,0.06,,0.01,0.03,
0.14,0.07,,"[462, 84, 375, 446]","[472, 557, 114, 156]",,0.0,0.0,,0.11,0.09,,0.0,0.1,,0.66,0.63,,0.07,0.07,,0.01,0.05,
0.08,0.08,,"[437, 76, 392, 475]","[468, 556, 118, 162]",,0.0,0.0,,0.09,0.09,,0.01,0.23,,0.73,0.49,,0.09,0.07,,0.01,0.03,
0.05,0.06,,"[444, 72, 387, 480]","[471, 557, 118, 162]",,0.0,0.0,,0.04,0.08,,0.0,0.28,,0.86,0.49,,0.04,0.05,,0.0,0.04,
0.02,0.03,,"[442, 89, 377, 463]","[468, 557, 120, 165]",,0.0,0.0,,0.06,0.06,,0.0,0.27,,0.87,0.57,,0.04,0.05,,0.0,0.02,
0.01,,,"[431, 57, 413, 489]",,,0.0,,,0.02,,,0.0,,,0.94,,,0.03,,,0.0,,
0.01,0.05,,"[435, 58, 409, 485]","[465, 560, 123, 169]",,0.0,0.0,,0.03,0.13,,0.0,0.22,,0.93,0.51,,0.03,0.06,,0.0,0.04,
0.07,0.18,,"[451, 81, 397, 468]","[64, 201, 86, 108]",,0.0,0.0,,0.1,0.17,,0.0,0.22,,0.79,0.21,,0.02,0.23,,0.02,0.0,
0.04,,,"[453, 86, 395, 467]",,,0.0,,,0.06,,,0.0,,,0.87,,,0.02,,,0.01,,
0.02,0.05,,"[453, 74, 402, 498]","[472, 570, 115, 158]",,0.0,0.0,,0.03,0.09,,0.0,0.16,,0.92,0.62,,0.02,0.05,,0.01,0.03,
0.02,0.05,0.11,"[449, 72, 406, 510]","[472, 570, 116, 159]","[45, 157, 111, 134]",0.0,0.0,0.0,0.03,0.07,0.06,0.0,0.3,0.53,0.92,0.45,0.15,0.03,0.04,0.14,0.0,0.08,0.01
0.02,0.04,,"[437, 75, 404, 500]","[471, 570, 115, 159]",,0.0,0.0,,0.02,0.07,,0.0,0.32,,0.9,0.48,,0.06,0.03,,0.0,0.06,
0.04,0.05,,"[441, 77, 414, 502]","[472, 573, 116, 158]",,0.0,0.0,,0.02,0.07,,0.0,0.29,,0.88,0.5,,0.06,0.05,,0.0,0.04,
0.05,0.04,,"[443, 79, 405, 491]","[472, 573, 116, 158]",,0.0,0.0,,0.06,0.08,,0.0,0.3,,0.83,0.49,,0.06,0.04,,0.01,0.04,
0.04,0.03,,"[446, 78, 408, 503]","[471, 572, 115, 157]",,0.0,0.0,,0.04,0.05,,0.0,0.27,,0.84,0.57,,0.08,0.03,,0.0,0.05,
0.02,,,"[445, 80, 415, 497]",,,0.0,,,0.02,,,0.0,,,0.9,,,0.05,,,0.0,,
0.04,0.03,,"[447, 87, 411, 487]","[472, 574, 113, 156]",,0.0,0.0,,0.06,0.06,,0.0,0.34,,0.84,0.48,,0.05,0.04,,0.01,0.05,
0.03,,,"[446, 81, 415, 496]",,,0.0,,,0.05,,,0.0,,,0.86,,,0.06,,,0.01,,
0.02,,,"[445, 84, 415, 491]",,,0.0,,,0.02,,,0.0,,,0.92,,,0.03,,,0.0,,
0.02,,,"[431, 92, 413, 501]",,,0.0,,,0.02,,,0.0,,,0.91,,,0.05,,,0.0,,
0.04,0.04,,"[444, 89, 415, 495]","[466, 574, 119, 164]",,0.0,0.0,,0.06,0.1,,0.0,0.51,,0.84,0.25,,0.06,0.06,,0.01,0.04,
0.03,0.03,,"[443, 87, 416, 504]","[468, 574, 117, 162]",,0.0,0.0,,0.06,0.08,,0.0,0.45,,0.85,0.37,,0.06,0.03,,0.0,0.04,
0.02,,,"[440, 84, 420, 516]",,,0.0,,,0.03,,,0.0,,,0.87,,,0.08,,,0.0,,
0.01,,,"[443, 90, 417, 504]",,,0.0,,,0.02,,,0.0,,,0.93,,,0.04,,,0.0,,
0.02,,,"[443, 90, 422, 503]",,,0.0,,,0.02,,,0.0,,,0.93,,,0.03,,,0.0,,
0.01,,,"[446, 93, 422, 501]",,,0.0,,,0.01,,,0.0,,,0.95,,,0.02,,,0.0,,
0.01,,,"[429, 78, 423, 526]",,,0.0,,,0.01,,,0.0,,,0.95,,,0.04,,,0.0,,
0.05,,,"[444, 91, 407, 488]",,,0.0,,,0.05,,,0.0,,,0.85,,,0.05,,,0.0,,
0.02,0.05,,"[439, 64, 413, 504]","[465, 571, 124, 170]",,0.0,0.0,,0.02,0.1,,0.0,0.39,,0.89,0.36,,0.07,0.07,,0.0,0.04,
0.04,0.03,,"[445, 50, 421, 510]","[470, 568, 119, 165]",,0.0,0.0,,0.04,0.11,,0.0,0.3,,0.83,0.45,,0.09,0.04,,0.01,0.07,
0.02,,,"[449, 53, 414, 492]",,,0.0,,,0.01,,,0.0,,,0.93,,,0.03,,,0.01,,
0.03,,,"[456, 59, 403, 481]",,,0.0,,,0.01,,,0.0,,,0.93,,,0.02,,,0.01,,
0.02,,,"[461, 82, 378, 468]",,,0.0,,,0.03,,,0.0,,,0.92,,,0.02,,,0.01,,
0.02,,,"[460, 83, 378, 468]",,,0.0,,,0.04,,,0.0,,,0.92,,,0.02,,,0.01,,
0.03,0.04,,"[459, 83, 381, 469]","[479, 570, 113, 154]",,0.0,0.0,,0.09,0.19,,0.0,0.19,,0.83,0.48,,0.03,0.08,,0.01,0.02,
0.05,0.05,,"[460, 73, 395, 488]","[478, 568, 115, 157]",,0.0,0.0,,0.07,0.19,,0.0,0.12,,0.84,0.57,,0.03,0.06,,0.02,0.01,
0.02,0.03,,"[456, 68, 401, 495]","[480, 570, 113, 156]",,0.0,0.0,,0.03,0.15,,0.0,0.25,,0.92,0.49,,0.02,0.05,,0.01,0.04,
0.01,0.05,,"[458, 71, 398, 493]","[479, 572, 114, 155]",,0.0,0.0,,0.01,0.16,,0.0,0.23,,0.97,0.49,,0.01,0.06,,0.0,0.03,
0.03,0.05,,"[454, 82, 407, 488]","[479, 573, 115, 155]",,0.0,0.0,,0.05,0.1,,0.0,0.23,,0.88,0.55,,0.03,0.05,,0.01,0.03,
0.04,0.05,,"[453, 81, 405, 498]","[481, 573, 114, 155]",,0.0,0.0,,0.03,0.13,,0.0,0.26,,0.9,0.46,,0.02,0.05,,0.01,0.05,
0.14,0.03,,"[451, 89, 407, 486]","[478, 571, 115, 157]",,0.0,0.0,,0.06,0.11,,0.0,0.15,,0.72,0.64,,0.08,0.04,,0.0,0.02,
0.1,0.03,,"[447, 90, 411, 490]","[481, 574, 111, 151]",,0.0,0.0,,0.05,0.12,,0.0,0.11,,0.72,0.68,,0.11,0.05,,0.01,0.01,
0.04,0.03,,"[451, 83, 410, 501]","[481, 574, 111, 152]",,0.0,0.0,,0.03,0.13,,0.0,0.21,,0.88,0.55,,0.03,0.05,,0.0,0.03,
0.05,0.04,,"[455, 84, 403, 496]","[479, 574, 114, 154]",,0.0,0.0,,0.05,0.1,,0.0,0.22,,0.87,0.55,,0.03,0.05,,0.01,0.04,
0.03,0.03,,"[439, 91, 409, 498]","[479, 574, 114, 153]",,0.0,0.0,,0.04,0.11,,0.0,0.18,,0.86,0.58,,0.05,0.07,,0.01,0.02,
0.05,0.04,,"[432, 92, 413, 499]","[480, 574, 114, 156]",,0.0,0.0,,0.04,0.11,,0.0,0.24,,0.86,0.52,,0.05,0.05,,0.01,0.04,
0.14,0.05,,"[429, 86, 419, 503]","[480, 574, 114, 154]",,0.0,0.0,,0.06,0.09,,0.0,0.2,,0.68,0.57,,0.09,0.06,,0.02,0.04,
0.07,0.03,,"[438, 82, 414, 511]","[479, 572, 115, 157]",,0.01,0.0,,0.03,0.07,,0.0,0.25,,0.8,0.52,,0.09,0.04,,0.0,0.08,
0.03,0.03,,"[446, 92, 409, 499]","[479, 574, 116, 158]",,0.0,0.0,,0.01,0.1,,0.0,0.35,,0.92,0.42,,0.04,0.06,,0.0,0.04,
0.03,0.03,,"[446, 100, 410, 491]","[478, 575, 117, 158]",,0.0,0.0,,0.02,0.09,,0.0,0.4,,0.87,0.4,,0.08,0.05,,0.0,0.03,
0.03,0.02,,"[445, 92, 416, 502]","[478, 575, 117, 160]",,0.0,0.0,,0.01,0.1,,0.0,0.54,,0.92,0.26,,0.04,0.04,,0.0,0.03,
0.02,0.02,,"[447, 91, 414, 505]","[479, 573, 117, 161]",,0.0,0.0,,0.01,0.07,,0.0,0.41,,0.94,0.44,,0.03,0.04,,0.0,0.02,
0.02,0.03,,"[450, 96, 412, 495]","[479, 577, 115, 157]",,0.0,0.0,,0.03,0.1,,0.0,0.47,,0.91,0.33,,0.04,0.05,,0.0,0.03,
0.02,0.02,,"[449, 100, 408, 494]","[478, 577, 116, 159]",,0.0,0.0,,0.04,0.09,,0.0,0.58,,0.9,0.23,,0.04,0.04,,0.0,0.03,
0.02,0.04,,"[444, 87, 412, 514]","[472, 578, 119, 160]",,0.0,0.0,,0.04,0.08,,0.0,0.54,,0.89,0.23,,0.04,0.06,,0.01,0.04,
0.07,,,"[439, 98, 422, 518]",,,0.0,,,0.08,,,0.0,,,0.69,,,0.16,,,0.01,,
0.15,,,"[434, 104, 440, 532]",,,0.0,,,0.09,,,0.01,,,0.37,,,0.37,,,0.01,,
0.06,0.01,,"[435, 126, 425, 519]","[482, 601, 105, 142]",,0.0,0.0,,0.04,0.04,,0.0,0.24,,0.79,0.66,,0.09,0.02,,0.01,0.03,
0.1,0.01,,"[415, 136, 426, 505]","[474, 601, 111, 151]",,0.0,0.0,,0.06,0.07,,0.0,0.41,,0.72,0.5,,0.08,0.01,,0.04,0.01,
0.06,0.0,,"[421, 120, 426, 496]","[472, 602, 110, 148]",,0.0,0.0,,0.03,0.07,,0.0,0.39,,0.83,0.51,,0.06,0.01,,0.01,0.01,
0.07,,,"[421, 125, 425, 499]",,,0.0,,,0.03,,,0.0,,,0.83,,,0.07,,,0.01,,
0.03,0.04,,"[406, 126, 435, 511]","[486, 610, 88, 115]",,0.0,0.0,,0.02,0.08,,0.0,0.19,,0.9,0.58,,0.04,0.09,,0.0,0.02,
0.02,,,"[400, 125, 431, 497]",,,0.0,,,0.02,,,0.0,,,0.88,,,0.06,,,0.01,,
0.06,0.01,,"[366, 97, 491, 568]","[467, 608, 105, 146]",,0.0,0.0,,0.07,0.17,,0.01,0.12,,0.71,0.64,,0.14,0.04,,0.01,0.01,
0.04,0.01,,"[370, 97, 484, 559]","[464, 602, 109, 153]",,0.0,0.0,,0.07,0.11,,0.01,0.19,,0.78,0.63,,0.08,0.05,,0.02,0.01,
0.07,0.01,,"[365, 103, 487, 559]","[464, 600, 109, 153]",,0.0,0.0,,0.08,0.11,,0.01,0.23,,0.68,0.59,,0.13,0.05,,0.03,0.01,
0.04,0.01,,"[370, 89, 485, 564]","[465, 605, 107, 145]",,0.0,0.0,,0.03,0.12,,0.01,0.08,,0.85,0.74,,0.07,0.04,,0.0,0.01,
0.03,,,"[365, 73, 493, 588]",,,0.0,,,0.08,,,0.02,,,0.79,,,0.05,,,0.03,,
0.04,0.01,,"[371, 103, 466, 539]","[462, 602, 107, 150]",,0.0,0.0,,0.07,0.1,,0.02,0.29,,0.74,0.54,,0.12,0.05,,0.01,0.01,
0.06,0.0,,"[385, 149, 433, 513]","[460, 608, 105, 139]",,0.0,0.0,,0.05,0.07,,0.0,0.37,,0.76,0.52,,0.12,0.03,,0.0,0.01,
0.1,0.02,,"[350, 105, 470, 550]","[458, 609, 105, 140]",,0.0,0.0,,0.27,0.22,,0.01,0.11,,0.32,0.6,,0.29,0.05,,0.02,0.01,
0.04,0.01,,"[354, 130, 453, 526]","[456, 609, 105, 142]",,0.0,0.0,,0.08,0.17,,0.0,0.13,,0.73,0.64,,0.14,0.04,,0.0,0.01,
0.05,0.01,,"[368, 141, 443, 524]","[454, 605, 106, 144]",,0.0,0.0,,0.07,0.11,,0.0,0.28,,0.7,0.54,,0.18,0.04,,0.0,0.01,
0.05,0.01,,"[371, 139, 438, 512]","[452, 604, 105, 146]",,0.0,0.0,,0.06,0.13,,0.0,0.16,,0.75,0.64,,0.13,0.04,,0.0,0.01,
0.03,,,"[391, 154, 396, 440]",,,0.0,,,0.13,,,0.0,,,0.69,,,0.13,,,0.01,,
0.03,,,"[373, 135, 434, 516]",,,0.0,,,0.08,,,0.0,,,0.77,,,0.12,,,0.01,,
0.04,,,"[370, 131, 434, 521]",,,0.0,,,0.11,,,0.0,,,0.69,,,0.14,,,0.02,,
0.11,,,"[364, 134, 440, 525]",,,0.0,,,0.1,,,0.0,,,0.6,,,0.17,,,0.02,,
0.07,,,"[394, 159, 404, 480]",,,0.0,,,0.12,,,0.0,,,0.68,,,0.11,,,0.01,,
0.07,,,"[380, 143, 428, 489]",,,0.0,,,0.09,,,0.0,,,0.7,,,0.13,,,0.0,,
0.04,,,"[396, 149, 418, 502]",,,0.0,,,0.06,,,0.0,,,0.81,,,0.09,,,0.01,,
0.03,,,"[402, 155, 411, 490]",,,0.0,,,0.05,,,0.0,,,0.85,,,0.06,,,0.01,,
0.06,0.02,,"[385, 129, 434, 528]","[471, 602, 87, 121]",,0.0,0.0,,0.1,0.11,,0.0,0.11,,0.73,0.66,,0.11,0.08,,0.01,0.02,
0.03,0.01,,"[389, 124, 437, 531]","[448, 590, 113, 160]",,0.0,0.0,,0.06,0.09,,0.0,0.49,,0.82,0.34,,0.07,0.03,,0.01,0.03,
